Profiling result from test run Test Main V1 exported at Wed Sep 28 15:46:54 CEST 2011;

time stamp [nano secs];event;power rate [mW];avg power rate [mW];avg power rate in interval [mW];
1316359303221685760;;34041;36383,20456078712;34295,36455072156;
1316359303317518080;;34045;36383,20456078712;34295,36455072156;
1316359303507507200;;34064;36383,20456078712;34295,36455072156;
1316359303660246016;;34155;36383,20456078712;34295,36455072156;
1316359303789868032;;34155;36383,20456078712;34295,36455072156;
1316359303905487104;;34087;36383,20456078712;34295,36455072156;
1316359304000910080;;34243;36383,20456078712;34295,36455072156;
1316359304105572864;;34266;36383,20456078712;34295,36455072156;
1316359304202842112;;34284;36383,20456078712;34295,36455072156;
1316359304357057024;;34307;36383,20456078712;34295,36455072156;
1316359304616451072;;34284;36383,20456078712;34295,36455072156;
1316359304756064768;;34326;36383,20456078712;34295,36455072156;
1316359304887489024;;34321;36383,20456078712;34295,36455072156;
1316359305007008000;;34252;36383,20456078712;34295,36455072156;
1316359305104775936;;34413;36383,20456078712;34295,36455072156;
1316359305202889984;;34445;36383,20456078712;34295,36455072156;
1316359305324985856;;34445;36383,20456078712;34295,36455072156;
1316359305424066048;;34422;36383,20456078712;34295,36455072156;
1316359305528678912;;34468;36383,20456078712;34295,36455072156;
1316359305743646976;;34486;36383,20456078712;34295,36455072156;
1316359305859698176;;34463;36383,20456078712;34295,36455072156;
1316359305956801024;;34463;36383,20456078712;34295,36455072156;
1316359306080771072;;34436;36383,20456078712;34295,36455072156;
1316359306267689984;;34436;36383,20456078712;34295,36455072156;
1316359306382735872;;34459;36383,20456078712;34295,36455072156;
1316359306480854016;;34574;36383,20456078712;34295,36455072156;
1316359306674271232;;34574;36383,20456078712;34295,36455072156;
1316359306862797056;;34436;36383,20456078712;34295,36455072156;
1316359307025568000;;34505;36383,20456078712;34295,36455072156;
1316359307037869056;;34505;36383,20456078712;34295,36455072156;
1316359307196697088;;34546;36383,20456078712;34295,36455072156;
1316359307472310016;;34477;36383,20456078712;34295,36455072156;
1316359307617559808;;34496;36383,20456078712;34295,36455072156;
1316359307969875200;;34560;36383,20456078712;34295,36455072156;
1316359308147728896;;34606;36383,20456078712;34295,36455072156;
1316359308303639808;;34588;36383,20456078712;34295,36455072156;
1316359308575954944;;34665;36383,20456078712;34295,36455072156;
1316359308961651968;;34574;36383,20456078712;34295,36455072156;
1316359309090713088;;34620;36383,20456078712;34295,36455072156;
1316359309234646016;;34643;36383,20456078712;34295,36455072156;
1316359309241938176;;34574;36383,20456078712;34295,36455072156;
1316359309368352768;;34574;36383,20456078712;34295,36455072156;
1316359309529671936;;34661;36383,20456078712;34295,36455072156;
1316359309644478976;;34684;36383,20456078712;34295,36455072156;
1316359309937716992;;34592;36383,20456078712;34295,36455072156;
1316359310065702912;;34569;36383,20456078712;34295,36455072156;
1316359310206893824;;34615;36383,20456078712;34295,36455072156;
1316359310309460992;;34684;36383,20456078712;34295,36455072156;
1316359310416524032;;34615;36383,20456078712;34295,36455072156;
1316359310681993984;;34679;36383,20456078712;34295,36455072156;
1316359310819782144;;34652;36383,20456078712;34295,36455072156;
1316359310951611136;;34606;36383,20456078712;34295,36455072156;
1316359311048712960;;34647;36383,20456078712;34295,36455072156;
1316359311181158912;;34656;36383,20456078712;34295,36455072156;
1316359311325300992;;34771;36383,20456078712;34295,36455072156;
1316359311423873024;;34748;36383,20456078712;34295,36455072156;
1316359311431382784;;34730;36383,20456078712;34295,36455072156;
1316359311444493056;;34771;36383,20456078712;34295,36455072156;
1316359311552421120;;34702;36383,20456078712;34295,36455072156;
1316359311772037120;;34753;36383,20456078712;34295,36455072156;
1316359311876580864;;34799;36383,20456078712;34295,36455072156;
1316359311972418048;;34739;36383,20456078712;34295,36455072156;
1316359312142946048;;34831;36383,20456078712;34295,36455072156;
1316359312270725120;;34854;36383,20456078712;34295,36455072156;
1316359312400958976;;34762;36383,20456078712;34295,36455072156;
1316359312502028032;;34785;36383,20456078712;34295,36455072156;
1316359312610030848;;34762;36383,20456078712;34295,36455072156;
1316359312715200000;;34780;36383,20456078712;34295,36455072156;
1316359313012267008;;34689;36383,20456078712;34295,36455072156;
1316359313134480896;;34735;36383,20456078712;34295,36455072156;
1316359313240847104;;34868;36383,20456078712;34295,36455072156;
1316359313342934016;;34936;36383,20456078712;34295,36455072156;
1316359313470256128;;34936;36383,20456078712;34295,36455072156;
1316359313640996096;;34955;36383,20456078712;34295,36455072156;
1316359313936364800;;34950;36383,20456078712;34295,36455072156;
1316359314060966912;;34950;36383,20456078712;34295,36455072156;
1316359314180553984;;34950;36383,20456078712;34295,36455072156;
1316359314320389120;;34950;36383,20456078712;34295,36455072156;
1316359314456836096;;34950;36383,20456078712;34295,36455072156;
1316359314586446080;;34941;36383,20456078712;34295,36455072156;
1316359314728689920;;34946;36383,20456078712;34295,36455072156;
1316359314784318976;executed presentationV01 #1;34918;36383,20456078712;40450,76158354223;
1316359315062877952;;34946;36383,20456078712;40450,76158354223;
1316359315075619840;;34936;36383,20456078712;40450,76158354223;
1316359315339796992;;34982;36383,20456078712;40450,76158354223;
1316359315350871040;;34978;36383,20456078712;40450,76158354223;
1316359315618501888;;34964;36383,20456078712;40450,76158354223;
1316359315750788864;;34982;36383,20456078712;40450,76158354223;
1316359315896806912;;34964;36383,20456078712;40450,76158354223;
1316359316162930944;;34987;36383,20456078712;40450,76158354223;
1316359316299654912;;35010;36383,20456078712;40450,76158354223;
1316359316564443136;;35079;36383,20456078712;40450,76158354223;
1316359316701929216;;35088;36383,20456078712;40450,76158354223;
1316359316858920960;;35088;36383,20456078712;40450,76158354223;
1316359316997689088;;35014;36383,20456078712;40450,76158354223;
1316359317008368128;;35033;36383,20456078712;40450,76158354223;
1316359317145276928;;34991;36383,20456078712;40450,76158354223;
1316359317284452864;;35014;36383,20456078712;40450,76158354223;
1316359317299691008;;35060;36383,20456078712;40450,76158354223;
1316359317434717952;;35014;36383,20456078712;40450,76158354223;
1316359317571662848;;35024;36383,20456078712;40450,76158354223;
1316359317836534016;;35001;36383,20456078712;40450,76158354223;
1316359317975848960;;34955;36383,20456078712;40450,76158354223;
1316359318116950016;;34955;36383,20456078712;40450,76158354223;
1316359318257985024;;34978;36383,20456078712;40450,76158354223;
1316359318397784064;;34978;36383,20456078712;40450,76158354223;
1316359318660551936;;34955;36383,20456078712;40450,76158354223;
1316359318798557952;;34932;36383,20456078712;40450,76158354223;
1316359318808569856;;34932;36383,20456078712;40450,76158354223;
1316359319017913088;;34932;36383,20456078712;40450,76158354223;
1316359319111866112;;34909;36383,20456078712;40450,76158354223;
1316359319209260032;;34932;36383,20456078712;40450,76158354223;
1316359319310728192;;34932;36383,20456078712;40450,76158354223;
1316359319492610048;;34904;36383,20456078712;40450,76158354223;
1316359319587932160;;35202;36383,20456078712;40450,76158354223;
1316359319682972928;;37997;36383,20456078712;40450,76158354223;
1316359319865573888;;40632;36383,20456078712;40450,76158354223;
1316359319963841024;;40059;36383,20456078712;40450,76158354223;
1316359320163431936;;38387;36383,20456078712;40450,76158354223;
1316359320175670016;;35294;36383,20456078712;40450,76158354223;
1316359320291276032;;35065;36383,20456078712;40450,76158354223;
1316359320398044160;;37722;36383,20456078712;40450,76158354223;
1316359320499723008;;37883;36383,20456078712;40450,76158354223;
1316359320599903232;;35546;36383,20456078712;40450,76158354223;
1316359320700370944;;35669;36383,20456078712;40450,76158354223;
1316359320803198208;;40593;36383,20456078712;40450,76158354223;
1316359320904589056;;49679;36383,20456078712;40450,76158354223;
1316359321006930176;;52559;36383,20456078712;40450,76158354223;
1316359321198896896;;53461;36383,20456078712;40450,76158354223;
1316359321303457024;;58129;36383,20456078712;40450,76158354223;
1316359321311530240;;57648;36383,20456078712;40450,76158354223;
1316359321411741952;;58281;36383,20456078712;40450,76158354223;
1316359321516531968;;58281;36383,20456078712;40450,76158354223;
1316359321614689024;;58807;36383,20456078712;40450,76158354223;
1316359321714950912;;59623;36383,20456078712;40450,76158354223;
1316359321812290048;;59700;36383,20456078712;40450,76158354223;
1316359321915796992;;59944;36383,20456078712;40450,76158354223;
1316359322105585152;;60061;36383,20456078712;40450,76158354223;
1316359322300017152;;65972;36383,20456078712;40450,76158354223;
1316359322491614208;;65842;36383,20456078712;40450,76158354223;
